Religion,Region,1970,2010,2020,1970%,2010%,2020%
Muslim,Africa,148210000,425860000,556923000,40.6,41.7,41.5
Muslim,Eastern Africa,21574000,70824000,98610000,19.5,21.9,22.1
Muslim,Middle Africa,3494000,12226000,17310000,8.6,9.7,9.6
Muslim,Northern Africa,75812000,186697000,231451000,92.2,89.1,94.0
Muslim,Southern Africa,271000,887000,1046000,1.1,1.5,1.6
Muslim,Western Africa,47059000,155227000,208506000,44.0,51.0,51.9
Muslim,Asia,406559000,1078854000,1270800000,18.9,25.9,27.4
Muslim,Eastern Asia,12103000,21601000,24371000,1.2,1.4,1.5
Muslim,South-central Asia,224849000,632333000,748532000,68.3,35.8,37.2
Muslim,South-eastern Asia,96932000,218910000,248591000,34.6,36.9,37.2
Muslim,Western Asia,72675000,206010000,249306000,82.5,88.8,89.2
Muslim,Europe,18273000,41492000,50647000,2.8,5.6,6.8
Muslim,Eastern Europe,11545000,16776000,19040000,4.2,5.7,6.5
Muslim,Northern Europe,676000,2865000,5881000,0.8,2.9,5.5
Muslim,Southern Europe,4034000,10276000,11381000,3.2,6.6,7.5
Muslim,Western Europe,2018000,11576000,14346000,1.2,6.1,7.3
Muslim,Latin America,424800,1527000,1773000,0.1,0.3,0.3
Muslim,Caribbean,70200,114000,119000,0.3,0.3,0.3
Muslim,Central America,46600,148000,172000,0.1,0.1,0.1
Muslim,South America,308000,1265000,1482000,0.2,0.3,0.3
Muslim,Northern America,842000,5492000,5671000,0.4,1.6,1.5
Muslim,Oceania,70900,549000,888000,0.4,1.5,2.1
Muslim,Australia/New Zealand,26000,484000,818000,0.2,1.8,2.7
Muslim,Melanesia,44900,63800,68200,1.3,0.7,0.6
Muslim,Global total,574379700,1553773000,1886702000,15.5,22.5,24.2
