Religion,Region,1970,2010,2020,1970%,2010%,2020%
Christian,Africa,137867000,494053000,654913000,37.7,48.3,48.9
Christian,Eastern Africa,54456000,214013000,292393000,49.3,66.0,65.6
Christian,Middle Africa,29474000,104579000,148998000,72.3,82.5,83.0
Christian,Northern Africa,5220000,16761000,11668000,6.4,8.0,4.7
Christian,Southern Africa,19008000,47598000,55465000,75.5,82.4,82.2
Christian,Western Africa,29709000,111103000,146389000,27.8,36.5,36.4
Christian,Asia,97389000,342012000,377842000,4.5,8.2,8.1
Christian,Eastern Asia,11418000,127573000,128446000,1.1,8.1,7.7
Christian,South-central Asia,27219000,69990000,80912000,3.5,4.0,4.0
Christian,South-eastern Asia,52295000,130271000,152878000,18.7,22.0,22.9
Christian,Western Asia,6457000,14178000,15606000,7.3,6.1,5.6
Christian,Europe,490507000,580116000,572603000,74.7,78.6,76.6
Christian,Eastern Europe,156919000,247550000,245905000,56.9,84.0,83.9
Christian,Northern Europe,75490000,74228000,106261000,86.4,74.8,70.5
Christian,Southern Europe,111361000,127943000,152215000,87.2,82.5,80.6
Christian,Western Europe,146737000,130395000,196146000,88.7,69.0,65.8
Christian,Latin America,269961000,544686000,653962000,94.2,92.3,92.2
Christian,Caribbean,19941000,34774000,43532000,78.2,83.5,84.1
Christian,Central America,66430000,149426000,179670000,97.6,95.9,95.7
Christian,South America,183590000,360486000,430760000,95.2,91.8,91.5
Christian,Northern America,202363000,271554000,368870000,91.2,78.8,73.1
Christian,Oceania,17636000,28019000,42678000,92.6,76.6,67.1
Christian,Australia/New Zealand,14391000,18869000,30322000,93.3,70.8,56.9
Christian,Melanesia,2999000,8004000,11123000,88.5,91.5,92.1
Christian,Micronesia,246000,499000,549000,95.7,93.1,93.1
Christian,Polynesia,409000,647000,684000,98.1,96.1,96.1
Christian,Global total,1215723000,2260440000,2506426000,32.9,32.8,32.2
